date,grid_seconds,max_age_seconds,snapshots,valid_snapshots,coverage,peak_gross_usd,min_equity_btc,max_abs_basis_equity_usd
2019-04-01,10,30,8640,8638,0.9997685185185186,2100822.5376585885,185.65538528202887,1387.2145369537132
2019-04-01,10,60,8640,8640,1.0,2100822.5376585885,185.65538528202887,1387.2145369537132
2019-04-01,10,300,8640,8640,1.0,2100822.5376585885,185.65538528202887,1387.2145369537132
2019-04-01,60,30,1440,1440,1.0,2100822.5376585885,185.72130609070976,1387.0902125968557
2019-04-01,60,60,1440,1440,1.0,2100822.5376585885,185.72130609070976,1387.0902125968557
2019-04-01,60,300,1440,1440,1.0,2100822.5376585885,185.72130609070976,1387.0902125968557
2019-04-01,300,30,288,288,1.0,2100822.5376585885,186.11963736804222,1377.0460407744324
2019-04-01,300,60,288,288,1.0,2100822.5376585885,186.11963736804222,1377.0460407744324
2019-04-01,300,300,288,288,1.0,2100822.5376585885,186.11963736804222,1377.0460407744324
2019-05-01,10,30,8640,8639,0.9998842592592593,3001087.1989756906,164.4969773102037,1020.198975690516
2019-05-01,10,60,8640,8640,1.0,3001087.1989756906,164.4969773102037,1020.198975690516
2019-05-01,10,300,8640,8640,1.0,3001087.1989756906,164.4969773102037,1020.198975690516
2019-05-01,60,30,1440,1440,1.0,3001086.75831892,164.6898987862296,1019.7583189200362
2019-05-01,60,60,1440,1440,1.0,3001086.75831892,164.6898987862296,1019.7583189200362
2019-05-01,60,300,1440,1440,1.0,3001086.75831892,164.6898987862296,1019.7583189200362
2019-05-01,300,30,288,288,1.0,3001076.8006637837,164.6898987862296,1009.800663783512
2019-05-01,300,60,288,288,1.0,3001076.8006637837,164.6898987862296,1009.800663783512
2019-05-01,300,300,288,288,1.0,3001076.8006637837,164.6898987862296,1009.800663783512
2019-06-01,10,30,8640,8640,1.0,4200410.800543873,162.8674046998584,1039.9984173971357
2019-06-01,10,60,8640,8640,1.0,4200410.800543873,162.8674046998584,1039.9984173971357
2019-06-01,10,300,8640,8640,1.0,4200410.800543873,162.8674046998584,1039.9984173971357
2019-06-01,60,30,1440,1440,1.0,4200405.862059439,162.8674046998584,1039.8741670659156
2019-06-01,60,60,1440,1440,1.0,4200405.862059439,162.8674046998584,1039.8741670659156
2019-06-01,60,300,1440,1440,1.0,4200405.862059439,162.8674046998584,1039.8741670659156
2019-06-01,300,30,288,288,1.0,4200405.862059439,163.22244202067776,1032.3231524802043
2019-06-01,300,60,288,288,1.0,4200405.862059439,163.22244202067776,1032.3231524802043
2019-06-01,300,300,288,288,1.0,4200405.862059439,163.22244202067776,1032.3231524802043
2019-07-01,10,30,8640,8640,1.0,3597442.193579739,149.23187058676118,3490.664699501429
2019-07-01,10,60,8640,8640,1.0,3597442.193579739,149.23187058676118,3490.664699501429
2019-07-01,10,300,8640,8640,1.0,3597442.193579739,149.23187058676118,3490.664699501429
2019-07-01,60,30,1440,1440,1.0,3597431.0322065265,149.3347242487395,3489.5242372179255
2019-07-01,60,60,1440,1440,1.0,3597431.0322065265,149.3347242487395,3489.5242372179255
2019-07-01,60,300,1440,1440,1.0,3597431.0322065265,149.3347242487395,3489.5242372179255
2019-07-01,300,30,288,288,1.0,3597407.4150388357,149.42040415340347,3444.1790899436623
2019-07-01,300,60,288,288,1.0,3597407.4150388357,149.42040415340347,3444.1790899436623
2019-07-01,300,300,288,288,1.0,3597407.4150388357,149.42040415340347,3444.1790899436623
2019-08-01,10,30,8640,8640,1.0,2000592.0000000002,167.05816746143887,200.09041410486128
2019-08-01,10,60,8640,8640,1.0,2000592.0000000002,167.05816746143887,200.09041410486128
2019-08-01,10,300,8640,8640,1.0,2000592.0000000002,167.05816746143887,200.09041410486128
2019-08-01,60,30,1440,1440,1.0,2000592.0000000002,167.05816746143887,200.06740276337908
2019-08-01,60,60,1440,1440,1.0,2000592.0000000002,167.05816746143887,200.06740276337908
2019-08-01,60,300,1440,1440,1.0,2000592.0000000002,167.05816746143887,200.06740276337908
2019-08-01,300,30,288,288,1.0,2000592.0000000002,167.2409156573422,197.91867949352132
2019-08-01,300,60,288,288,1.0,2000592.0000000002,167.2409156573422,197.91867949352132
2019-08-01,300,300,288,288,1.0,2000592.0000000002,167.2409156573422,197.91867949352132
2019-09-01,10,30,8640,8640,1.0,2000424.0000000002,211.96413784355818,201.41367412748846
2019-09-01,10,60,8640,8640,1.0,2000424.0000000002,211.96413784355818,201.41367412748846
2019-09-01,10,300,8640,8640,1.0,2000424.0000000002,211.96413784355818,201.41367412748846
2019-09-01,60,30,1440,1440,1.0,2000424.0,211.9862878205772,199.32089986741823
2019-09-01,60,60,1440,1440,1.0,2000424.0,211.9862878205772,199.32089986741823
2019-09-01,60,300,1440,1440,1.0,2000424.0,211.9862878205772,199.32089986741823
2019-09-01,300,30,288,288,1.0,2000424.0,212.0047856007894,199.29132083468818
2019-09-01,300,60,288,288,1.0,2000424.0,212.0047856007894,199.29132083468818
2019-09-01,300,300,288,288,1.0,2000424.0,212.0047856007894,199.29132083468818
2019-10-01,10,30,8640,8640,1.0,4000578.392993103,213.04287878513617,346.9188853404793
2019-10-01,10,60,8640,8640,1.0,4000578.392993103,213.04287878513617,346.9188853404793
2019-10-01,10,300,8640,8640,1.0,4000578.392993103,213.04287878513617,346.9188853404793
2019-10-01,60,30,1440,1440,1.0,4000578.355980452,213.780335446343,192.45018100016316
2019-10-01,60,60,1440,1440,1.0,4000578.355980452,213.780335446343,192.45018100016316
2019-10-01,60,300,1440,1440,1.0,4000578.355980452,213.780335446343,192.45018100016316
2019-10-01,300,30,288,288,1.0,4000578.355980452,214.07319707136475,189.52525203501125
2019-10-01,300,60,288,288,1.0,4000578.355980452,214.07319707136475,189.52525203501125
2019-10-01,300,300,288,288,1.0,4000578.355980452,214.07319707136475,189.52525203501125
2019-11-01,10,30,8640,8640,1.0,497.00000000000006,214.74772096322297,0.04985862630342154
2019-11-01,10,60,8640,8640,1.0,497.00000000000006,214.74772096322297,0.04985862630342154
2019-11-01,10,300,8640,8640,1.0,497.00000000000006,214.74772096322297,0.04985862630342154
2019-11-01,60,30,1440,1440,1.0,497.00000000000006,214.74772580807038,0.04984075906673774
2019-11-01,60,60,1440,1440,1.0,497.00000000000006,214.74772580807038,0.04984075906673774
2019-11-01,60,300,1440,1440,1.0,497.00000000000006,214.74772580807038,0.04984075906673774
2019-11-01,300,30,288,288,1.0,497.00000000000006,214.74775147148327,0.049350706665074066
2019-11-01,300,60,288,288,1.0,497.00000000000006,214.74775147148327,0.049350706665074066
2019-11-01,300,300,288,288,1.0,497.00000000000006,214.74775147148327,0.049350706665074066
2019-12-01,10,30,8640,8640,1.0,4000355.1061341166,315.8247428876141,90.21797875335191
2019-12-01,10,60,8640,8640,1.0,4000355.1061341166,315.8247428876141,90.21797875335191
2019-12-01,10,300,8640,8640,1.0,4000355.1061341166,315.8247428876141,90.21797875335191
2019-12-01,60,30,1440,1440,1.0,4000350.130843402,316.04545746548223,90.21151637040352
2019-12-01,60,60,1440,1440,1.0,4000350.130843402,316.04545746548223,90.21151637040352
2019-12-01,60,300,1440,1440,1.0,4000350.130843402,316.04545746548223,90.21151637040352
2019-12-01,300,30,288,288,1.0,4000350.0647361916,316.46918415935664,90.09499351489457
2019-12-01,300,60,288,288,1.0,4000350.0647361916,316.46918415935664,90.09499351489457
2019-12-01,300,300,288,288,1.0,4000350.0647361916,316.46918415935664,90.09499351489457
2020-01-01,10,30,8640,8640,1.0,2500254.0,376.8151436541735,250.07020424468368
2020-01-01,10,60,8640,8640,1.0,2500254.0,376.8151436541735,250.07020424468368
2020-01-01,10,300,8640,8640,1.0,2500254.0,376.8151436541735,250.07020424468368
2020-01-01,60,30,1440,1440,1.0,2500254.0,376.8370921095211,250.07020424468368
