year,max_gap_seconds,actual_orders,descriptive_bursts,median_burst_usd,total_contracts,largest_burst_usd
2018,0,8805,8754,200000.0,1494182102,1500000
2018,1,8805,8723,200000.0,1494182102,2050000
2018,10,8805,8382,200000.0,1494182102,2050000
2018,60,8805,7233,200000.0,1494182102,2450000
2019,0,3740,3715,700000.0,3195153145,6000000
2019,1,3740,3709,700000.0,3195153145,6000000
2019,10,3740,3617,724555.0,3195153145,6000000
2019,60,3740,3145,946863.0,3195153145,6000000
2020,0,3511,3435,1500000.0,6626193329,24817979
2020,1,3511,3395,1500000.0,6626193329,24817979
2020,10,3511,3146,1500000.0,6626193329,24817979
2020,60,3511,2633,1500000.0,6626193329,24817979
2021,0,2341,2222,5000000.0,12256095137,50000000
2021,1,2341,2172,5000000.0,12256095137,50000000
2021,10,2341,1913,5000000.0,12256095137,50000000
2021,60,2341,1539,6200000.0,12256095137,62320000
