date,asset,gross_sat,fee_sat,funding_credit_sat
2018-03-05,btc,-6689000,1235355,556325
2018-03-06,btc,-1067880,1299692,-79993
2018-03-08,btc,8101731,3289340,-77143
2018-03-09,btc,4257246,4601862,-10518
2018-03-10,btc,1368833,3307832,-593189
2018-03-11,btc,2078932,1911031,0
2018-03-12,btc,-11581336,2480386,49884
2018-03-13,btc,29607486,21954113,1889512
2018-03-14,btc,-26548303,2525167,45207
2018-03-15,btc,18239973,3885997,0
2018-03-16,btc,85415133,16096119,0
2018-03-17,btc,8665238,6066083,154359
2018-03-19,btc,121799605,5888988,-541168
2018-03-20,btc,-217423224,18325509,782530
2018-03-21,btc,91911098,12890051,-1201287
2018-03-22,btc,-9859172,18761420,554300
2018-03-29,btc,13667037,30274968,-470825
2018-03-30,btc,180609886,57376649,143337
2018-03-31,btc,58769602,56974390,1429112
2018-04-01,btc,118795426,152197693,2124379
2018-04-02,btc,-2322906,74750301,-3529458
2018-04-03,btc,-55398644,35800168,-1251062
2018-04-04,btc,37058424,20096756,139290
2018-04-05,btc,38302776,21429796,0
2018-04-06,btc,24952149,3685845,-794674
2018-04-07,btc,4779000,5011618,0
2018-04-08,btc,4674824,2317119,-81433
2018-04-09,btc,38098093,3314545,238743
2018-04-10,btc,7279067,1735801,0
2018-04-11,btc,630000,194443,0
2018-04-12,btc,3521373,7224997,94491
2018-04-13,btc,99929196,34556042,-756095
2018-04-14,btc,-31299285,30064138,241946
2018-04-15,btc,27090048,32066152,0
2018-04-16,ada,0,-147670,0
2018-04-16,btc,150046159,29674182,494680
2018-04-17,ada,2718168,-141250,0
2018-04-17,btc,17400000,-593905,0
2018-04-18,btc,138869413,-2168234,0
2018-04-19,btc,-131129533,37738569,-15639
2018-04-20,btc,20043333,1549917,-758526
2018-04-21,btc,65536800,2885270,-118540
2018-04-22,btc,4745217,1285325,0
2018-04-23,bch,6560000,-862086,0
2018-04-24,bch,8110000,1865924,0
2018-04-24,btc,64889749,3446123,-296184
2018-04-25,ada,10187811,1221044,0
2018-04-25,btc,97879291,-524075,0
2018-04-26,btc,91010599,1609512,0
2018-04-27,btc,44413118,-2656448,0
2018-04-28,btc,15372989,9122755,0
2018-04-28,xrp,474450,-87313,0
2018-04-29,ada,31824564,-1628103,0
2018-04-29,btc,2972681,2476056,0
2018-05-01,btc,466925,2145440,0
2018-05-02,btc,3600000,-1967670,0
2018-05-03,ada,14202341,-1859137,0
2018-05-03,btc,-27311911,61135,0
2018-05-04,btc,7724271,1855420,0
2018-05-05,btc,17,1,0
2018-05-06,btc,17877247,-92174,-6662654
2018-05-07,ada,19530750,-532501,0
2018-05-07,btc,6432669,2204755,0
2018-05-07,xrp,14409794,-1346326,0
2018-05-09,ada,26874615,-1040319,0
2018-05-09,xrp,14699568,-893788,0
2018-05-11,ada,41920664,-3074666,0
2018-05-11,btc,120262039,-10475344,0
2018-05-12,btc,82369224,-10394629,0
2018-05-13,btc,5141595,-683069,0
2018-05-14,btc,5636846,-2091543,0
2018-05-15,btc,8839392,227400,0
2018-05-16,btc,76925852,-12164980,-244860
2018-05-17,btc,2872080,-966411,0
2018-05-18,bch,3300000,-532035,0
2018-05-18,eth,20000,305972,0
2018-05-19,btc,6884835,447625,0
2018-05-20,btc,-5785182,-3946981,0
2018-05-21,btc,4507950,-2808416,0
2018-05-22,ada,515000,-224416,0
2018-05-22,btc,-121390671,-7038212,-244280
2018-05-23,btc,-251426660,-32759452,0
2018-05-24,btc,-205609075,-34962348,1032151
2018-05-25,btc,39648643,-1440474,1204384
2018-05-26,btc,90090132,1163815,-415888
2018-05-28,btc,-27670110,11800677,0
2018-05-29,btc,86711782,1004488,0
2018-05-30,btc,33540672,9091925,-696455
2018-05-31,btc,22288101,1409449,-2
2018-06-01,btc,40792858,-3766459,102133
2018-06-02,btc,0,-967654,429164
2018-06-03,btc,4038444,-642735,45367
2018-06-04,ada,175500,-16867,0
2018-06-04,btc,36210791,-4901757,-491
2018-06-05,btc,31787633,-2977487,-97939
2018-06-06,btc,41704582,13462389,10
2018-06-07,btc,0,0,7
2018-06-08,btc,0,0,7
2018-06-09,btc,0,0,10
2018-06-10,ada,14718000,-2098,0
2018-06-10,btc,52567957,-4068439,10
2018-06-11,btc,813271,-1316101,51
2018-06-12,btc,-2733369,-2888447,2189051
2018-06-13,btc,21472592,8524842,-1007276
2018-06-14,btc,74154199,-9803815,-175427
2018-06-15,btc,59568065,4373735,27
2018-06-16,btc,102156907,-2964218,30
2018-06-17,btc,0,0,40
2018-06-18,ada,1950000,-579109,0
2018-06-18,btc,23807330,-3031102,4
2018-06-19,btc,4200144,-3327220,6
2018-06-20,btc,47285449,-13518216,-22
2018-06-21,btc,0,0,-15
2018-06-22,ada,179035,-417611,0
2018-06-22,btc,53133817,-3313940,4
2018-06-23,ada,0,927502,0
2018-06-23,btc,87798558,-5487391,97
2018-06-23,eos,15100180,-211086,0
2018-06-24,btc,-224220913,-5654098,-5870129
2018-06-24,eos,22302967,3126659,0
2018-06-25,btc,59899133,-1343151,-5064
2018-06-25,eos,63235654,-1132149,0
2018-06-26,btc,21437904,2898353,2
2018-06-26,eos,-1605480,-325987,0
2018-06-27,ada,0,-3724,0
2018-06-27,btc,13161807,3733204,-6
2018-06-27,eos,119038169,-62842,0
2018-06-28,ada,0,-275587,0
2018-06-28,btc,0,0,-876076
2018-06-28,eos,0,-403636,0
2018-06-29,ada,-191826251,0,0
2018-06-29,btc,-65440627,7913212,-340419
2018-06-29,eos,-97800120,2511932,0
2018-06-30,btc,62805971,3659758,313404
2018-06-30,eos,81852835,-1715675,0
2018-07-01,btc,0,0,-6
2018-07-02,btc,24200615,-24496,-6
2018-07-02,eos,117123418,-687762,0
2018-07-03,btc,110019957,12966763,1
2018-07-04,btc,20825172,964950,222095
2018-07-04,eos,29066551,-1214424,0
2018-07-05,btc,46383222,3447733,-6
2018-07-06,btc,0,0,-6
2018-07-06,eos,0,-894025,0
2018-07-07,btc,38000492,-577478,-6
2018-07-08,btc,10225227,-3997162,-892223
2018-07-09,btc,22270903,3960456,-1
2018-07-09,eos,-56837155,-1737275,0
2018-07-10,btc,75244609,-3131495,-628606
2018-07-10,eos,-126232623,-945352,0
2018-07-11,btc,20187417,-140369,-6
2018-07-11,eos,-48641218,-1733512,0
2018-07-12,btc,73022903,-24686,727456
2018-07-12,eos,-21360575,-492139,0
2018-07-13,ada,15078105,-1782995,0
2018-07-13,btc,91168439,1449201,789784
2018-07-13,eos,7081192,-2346336,0
2018-07-14,btc,1000065,-2872092,319158
2018-07-14,eos,-5603176,-993697,0
2018-07-15,btc,268,-708786,-1759954
2018-07-15,eos,73835339,-1371639,0
2018-07-16,ada,-60,-218425,0
2018-07-16,btc,-32335230,-263480,-2751570
2018-07-16,eos,4481469,-2096429,0
2018-07-17,ada,5400000,-215999,0
2018-07-17,btc,-586012875,-7930848,890459
2018-07-17,eos,20500052,-600898,0
2018-07-18,ada,5400000,-464482,0
2018-07-18,btc,291540742,-9898902,-265614
2018-07-18,eos,20993191,-1057855,0
2018-07-18,eth,0,2969100,0
2018-07-18,trx,10000000,-500399,0
2018-07-18,xrp,73536720,-2703259,0
2018-07-19,ada,7420662,-447747,0
2018-07-19,btc,91247433,-319971,1698332
2018-07-19,eos,0,-256701,0
2018-07-19,eth,2025000,-1238108,0
2018-07-19,trx,37807100,-1956814,0
2018-07-19,xrp,45251154,-1190450,0
2018-07-20,ada,0,-209698,0
2018-07-20,bch,14740000,-802322,0
2018-07-20,btc,72999850,-4214505,367717
2018-07-20,eos,673237,-262009,0
2018-07-20,trx,22825788,-1806219,0
2018-07-20,xrp,-264395107,3258640,0
2018-07-21,ada,0,-195930,0
2018-07-21,btc,10042823,839196,-337181
2018-07-21,eos,0,-241914,0
2018-07-21,trx,2928947,-38687,0
2018-07-22,ada,23894550,-194564,0
2018-07-22,btc,47817473,-1131379,3
2018-07-23,btc,418380928,3489817,-62524
2018-07-23,trx,4156193,-736855,0
2018-07-24,ada,4042733,-596024,0
2018-07-24,btc,-59313125,5873094,-2108520
2018-07-24,eos,-57222495,-1181873,0
2018-07-24,eth,-127333145,-1292473,0
2018-07-24,ltc,11377000,-1026579,0
2018-07-24,trx,94332277,-2445444,0
2018-07-25,btc,366784244,-12317277,-1370446
2018-07-25,eos,23051418,-563413,0
2018-07-25,eth,-53624446,-468080,0
2018-07-26,btc,120622996,-11562134,4457412
2018-07-26,eth,-52756867,277546,0
2018-07-27,ada,0,-186879,0
2018-07-27,btc,100027393,-219949,1397241
2018-07-27,eos,0,-437724,0
2018-07-27,eth,-11716127,-266486,0
2018-07-28,ada,0,-91530,0
2018-07-28,btc,76405840,-2697952,-2716846
2018-07-28,eos,0,-231907,0
2018-07-28,eth,0,-130026,0
2018-07-29,ada,-11550846,-186610,0
2018-07-29,btc,44733544,-437008,-3997998
2018-07-29,trx,30167188,-4032272,0
2018-07-30,ada,0,-323874,0
2018-07-30,btc,75952607,807880,-11972394
2018-07-30,eos,0,-661526,0
2018-07-30,trx,114813,12064,0
2018-07-31,ada,-64820062,-752166,0
2018-07-31,btc,-214613641,32624057,-19915024
2018-07-31,eos,-82035159,-657216,0
2018-07-31,eth,-4773493,26618,0
2018-07-31,trx,6949376,-521707,0
2018-08-01,ada,-2443322,-276735,0
2018-08-01,btc,-107127119,-6401946,-3004400
2018-08-01,eos,-30470343,-471919,0
2018-08-01,eth,0,-125325,0
2018-08-01,xrp,16437700,-326342,0
2018-08-02,ada,0,-166706,0
2018-08-02,btc,75833751,-7559770,-647862
2018-08-02,eos,0,-146654,0
2018-08-03,ada,-21273523,-163212,0
2018-08-03,btc,-1675639,-433033,-1010383
2018-08-03,eos,5330497,-359641,0
2018-08-03,eth,-18785114,312718,0
2018-08-03,trx,14999959,-371248,0
2018-08-03,xrp,1080,-330,0
2018-08-04,ada,-8328250,-161726,0
2018-08-04,btc,-144514216,10558292,-3095974
2018-08-04,eos,55623393,611535,0
2018-08-04,eth,8882192,999967,0
2018-08-05,ada,-11572733,-122589,0
2018-08-05,btc,-226627063,9410917,12157085
2018-08-06,btc,57957015,-12036292,1531276
2018-08-07,ada,0,11452,0
2018-08-07,btc,424717142,6868296,-1440490
2018-08-08,ada,-49678098,2019665,0
2018-08-08,btc,-346909080,-4882213,11995298
2018-08-08,eos,18145682,-1506142,0
2018-08-08,eth,1450000,-139372,0
2018-08-08,trx,-18,0,0
2018-08-08,xrp,1896800,-177913,0
2018-08-09,btc,624199660,10046666,9892894
2018-08-09,eos,34828770,1143866,0
2018-08-10,btc,318789921,-3298106,6121593
2018-08-11,btc,120914565,11726823,4098188
2018-08-11,eos,0,-348364,0
2018-08-12,btc,106421925,12333515,-3
2018-08-12,eos,0,-107127,0
2018-08-13,ada,0,-214875,0
2018-08-13,btc,54692640,1004024,387975
2018-08-13,eos,504650,1802922,0
2018-08-13,trx,4999983,-92338,0
2018-08-14,ada,0,-334157,0
2018-08-14,btc,-191845487,3336758,-125059
2018-08-14,eos,4973030,486628,0
2018-08-14,eth,4388030,-168039,0
2018-08-14,trx,0,-127348,0
2018-08-15,ada,26615740,-1088489,0
2018-08-15,btc,117047111,17624980,136045
2018-08-15,eos,95549150,3680761,0
2018-08-15,trx,74209913,419065,0
2018-08-16,btc,216015099,13346715,-1547214
2018-08-17,btc,-91847453,8705059,-7826163
2018-08-17,eos,0,-550072,0
2018-08-17,eth,0,-422945,0
2018-08-17,trx,628950,-344766,0
2018-08-17,xrp,-25209973,-2855281,0
2018-08-18,btc,-10448761,37675191,0
2018-08-18,eos,13891060,1835332,0
2018-08-18,eth,63163390,615129,1155035
2018-08-18,trx,60000000,-1447705,0
2018-08-18,xrp,32331050,-1791076,0
2018-08-19,btc,-8766885,6912713,32
2018-08-20,btc,9230700,-1752518,5
2018-08-21,btc,0,0,18
2018-08-22,btc,99592192,3619182,1
2018-08-23,btc,41215311,1902439,-2962014
2018-08-24,btc,-116660339,8590708,-4631821
2018-08-25,btc,-19707512,18429522,-3566407
2018-08-26,btc,36774562,-3736613,-130270
