horizon_days,metric,events,valid_events,median_change,fraction_decreasing,matched_pairs,median_change_minus_control
1,btc_short_hours,9,9,-6.425163234444446,0.6666666666666666,4,-11.517050236527776
1,median_order_usd,9,6,-50000.0,0.5,2,-1809710.0
1,orders,9,9,4.0,0.2222222222222222,4,10.5
1,peak_btc_gross_face_usd,9,9,-1.0,0.5555555555555556,4,-8500528.5
1,peak_to_prior_equity,9,9,-9.865820961031957e-06,0.5555555555555556,4,-0.6457794291229364
7,btc_short_hours,9,9,-6.042041162341271,0.5555555555555556,4,-10.682045211984127
7,median_order_usd,9,9,37304.0,0.3333333333333333,4,-26636.16904761904
7,orders,9,9,2.428571428571429,0.4444444444444444,4,-3.0
7,peak_btc_gross_face_usd,9,9,14074.285714285681,0.4444444444444444,4,-5943319.0
7,peak_to_prior_equity,9,9,-0.09415396668242482,0.5555555555555556,4,-0.14000513726782632
30,btc_short_hours,9,9,-3.0480775713796326,0.6666666666666666,4,-5.635959780583337
30,median_order_usd,9,9,32194.620370370336,0.3333333333333333,4,100447.05341183589
30,orders,9,9,2.0333333333333337,0.4444444444444444,4,2.6333333333333337
30,peak_btc_gross_face_usd,9,9,49051.96666666679,0.2222222222222222,4,-919680.383333333
30,peak_to_prior_equity,9,9,-0.17574973808448524,0.6666666666666666,4,-0.031816582315462805
