event,kind,center,horizon_days,metric,before_mean,after_mean,before_observations,after_observations,change
2018-05-24,loss,2018-05-24,1,orders,21.0,25.0,1,1,4.0
2018-05-24,loss,2018-05-24,1,median_order_usd,200000.0,235796.0,1,1,35796.0
2018-05-24,loss,2018-05-24,1,peak_btc_gross_face_usd,400000.0,600000.0,1,1,200000.0
2018-05-24,loss,2018-05-24,1,peak_to_prior_equity,6.748761078271601,13.336733812943306,1,1,6.587972734671705
2018-05-24,loss,2018-05-24,1,btc_short_hours,0.06514002,0.3623909555555555,1,1,0.2972509355555555
2018-05-24,loss,2018-05-24,7,orders,10.571428571428571,13.428571428571429,7,7,2.8571428571428577
2018-05-24,loss,2018-05-24,7,median_order_usd,187642.66666666666,224946.66666666666,6,6,37304.0
2018-05-24,loss,2018-05-24,7,peak_btc_gross_face_usd,302563.85714285716,387758.28571428574,7,7,85194.42857142858
2018-05-24,loss,2018-05-24,7,peak_to_prior_equity,5.485649748441028,8.112989587955566,7,7,2.627339839514538
2018-05-24,loss,2018-05-24,7,btc_short_hours,0.15582378301587302,0.21320254329365082,7,7,0.0573787602777778
2018-05-24,loss,2018-05-24,30,orders,17.5,16.4,30,30,-1.1000000000000014
2018-05-24,loss,2018-05-24,30,median_order_usd,169053.33333333334,169564.04166666666,24,24,510.70833333331393
2018-05-24,loss,2018-05-24,30,peak_btc_gross_face_usd,339519.0,356157.5333333333,30,30,16638.533333333326
2018-05-24,loss,2018-05-24,30,peak_to_prior_equity,8.306630158899113,5.6616514978714125,29,30,-2.6449786610277
2018-05-24,loss,2018-05-24,30,btc_short_hours,0.500571701472222,8.849192452203704,30,30,8.348620750731483
2018-09-22,loss,2018-09-22,1,orders,0.0,0.0,1,1,0.0
2018-09-22,loss,2018-09-22,1,median_order_usd,,,0,0,
2018-09-22,loss,2018-09-22,1,peak_btc_gross_face_usd,1.0,0.0,1,1,-1.0
2018-09-22,loss,2018-09-22,1,peak_to_prior_equity,9.865820961031957e-06,0.0,1,1,-9.865820961031957e-06
2018-09-22,loss,2018-09-22,1,btc_short_hours,24.0,0.0,1,1,-24.0
2018-09-22,loss,2018-09-22,7,orders,4.857142857142857,0.7142857142857143,7,7,-4.142857142857142
2018-09-22,loss,2018-09-22,7,median_order_usd,181372.0,53929.5,2,2,-127442.5
2018-09-22,loss,2018-09-22,7,peak_btc_gross_face_usd,181061.0,28572.14285714286,7,7,-152488.85714285713
2018-09-22,loss,2018-09-22,7,peak_to_prior_equity,1.4459033616840984,1.1572380885126266,7,7,-0.28866527317147184
2018-09-22,loss,2018-09-22,7,btc_short_hours,23.99495189027778,3.7410876510317452,7,7,-20.253864239246035
2018-09-22,loss,2018-09-22,30,orders,15.7,3.9,30,30,-11.799999999999999
2018-09-22,loss,2018-09-22,30,median_order_usd,243761.0909090909,200982.375,22,8,-42778.71590909091
2018-09-22,loss,2018-09-22,30,peak_btc_gross_face_usd,676360.1,142259.16666666666,30,30,-534100.9333333333
2018-09-22,loss,2018-09-22,30,peak_to_prior_equity,3.7813245756616305,2.022885605204788,30,30,-1.7584389704568424
2018-09-22,loss,2018-09-22,30,btc_short_hours,19.10483256988889,9.94160411474074,30,30,-9.163228455148152
2018-12-18,loss,2018-12-18,1,orders,44.0,86.0,1,1,42.0
2018-12-18,loss,2018-12-18,1,median_order_usd,350000.0,350000.0,1,1,0.0
2018-12-18,loss,2018-12-18,1,peak_btc_gross_face_usd,1594230.0,2452074.0,1,1,857844.0
2018-12-18,loss,2018-12-18,1,peak_to_prior_equity,4.21493203987695,6.503025722401495,1,1,2.2880936825245453
2018-12-18,loss,2018-12-18,1,btc_short_hours,16.216811129166665,9.79164789472222,1,1,-6.425163234444446
2018-12-18,loss,2018-12-18,7,orders,34.285714285714285,72.0,7,7,37.714285714285715
2018-12-18,loss,2018-12-18,7,median_order_usd,294055.5,333324.21428571426,7,7,39268.71428571426
2018-12-18,loss,2018-12-18,7,peak_btc_gross_face_usd,1033792.8571428572,1683003.4285714286,7,7,649210.5714285715
2018-12-18,loss,2018-12-18,7,peak_to_prior_equity,2.7893432814048515,3.929494399586733,7,7,1.1401511181818815
2018-12-18,loss,2018-12-18,7,btc_short_hours,15.043949408293653,16.95191385865079,7,7,1.907964450357138
2018-12-18,loss,2018-12-18,30,orders,55.7,24.666666666666668,30,30,-31.033333333333335
2018-12-18,loss,2018-12-18,30,median_order_usd,250733.23333333334,339180.22222222225,30,27,88446.98888888891
2018-12-18,loss,2018-12-18,30,peak_btc_gross_face_usd,1045391.0666666667,1077416.7666666666,30,30,32025.699999999953
2018-12-18,loss,2018-12-18,30,peak_to_prior_equity,3.674064884490584,2.3344490338413992,30,30,-1.3396158506491846
2018-12-18,loss,2018-12-18,30,btc_short_hours,13.550960455814817,19.728730015166665,30,30,6.177769559351848
2019-04-02,loss,2019-04-02,1,orders,1.0,76.0,1,1,75.0
2019-04-02,loss,2019-04-02,1,median_order_usd,700000.0,600000.0,1,1,-100000.0
2019-04-02,loss,2019-04-02,1,peak_btc_gross_face_usd,1400137.0,3049378.0,1,1,1649241.0
2019-04-02,loss,2019-04-02,1,peak_to_prior_equity,1.786076567786493,4.621666563017541,1,1,2.8355899952310484
2019-04-02,loss,2019-04-02,1,btc_short_hours,24.0,7.364018627777779,1,1,-16.635981372222222
2019-04-02,loss,2019-04-02,7,orders,4.0,28.714285714285715,7,7,24.714285714285715
