source_file,execid,time,symbol,side,lastqty,lastpx,ordtype,text,execinst
aoa-execution-2018-03-01-2018-12-31.csv,2634ed6a-28c6-d67c-d2ea-17d00c04da8f,2018-03-09 05:49:16.663947,XBTUSD,Sell,10000,8541.91,Limit,Liquidation,
aoa-execution-2018-03-01-2018-12-31.csv,2cdb00fa-a78b-a807-628a-ef30fb305986,2018-03-09 16:26:58.662496,XBTUSD,Sell,10000,8791.22,Limit,Liquidation,
aoa-execution-2018-03-01-2018-12-31.csv,f6dcccda-c05d-7b9c-b008-dfd9c0f0bc24,2018-03-10 01:04:11.711528,XBTUSD,Buy,10000,9441.96,Limit,Liquidation,
aoa-execution-2018-03-01-2018-12-31.csv,c015b590-bb6e-a545-69c2-4eb239954729,2018-03-12 16:03:15.628659,XBTUSD,Sell,45000,9016.33,Limit,Liquidation,
aoa-execution-2018-03-01-2018-12-31.csv,28424bf0-afdd-3c28-db32-29c85303833f,2018-03-13 10:41:40.682630,XBTUSD,Sell,100000,9030.99,Limit,Liquidation,
aoa-execution-2018-03-01-2018-12-31.csv,cae73931-9cb4-1d88-6958-a93f6b881979,2018-03-14 09:40:49.480453,XBTUSD,Sell,130000,8829.26,Limit,Liquidation,
aoa-execution-2018-03-01-2018-12-31.csv,497dace6-8e4f-5d6b-c9d2-44dba9ea746b,2018-03-20 20:05:53.705011,XBTUSD,Buy,700000,9034.22,Limit,Liquidation,
aoa-execution-2018-03-01-2018-12-31.csv,06a8d551-3061-22d9-26ad-1b5d919a8fda,2018-03-29 20:10:02.172876,XBTM18,Sell,30000,7152.58,Limit,Liquidation,
aoa-execution-2018-03-01-2018-12-31.csv,25364c28-9d1b-44a6-ef9d-9f8845bc01d7,2018-03-29 20:09:56.625202,XBTUSD,Sell,100000,7262.71,Limit,Liquidation,
aoa-execution-2018-03-01-2018-12-31.csv,c87cf3ab-71c8-5f41-95ab-f6a09d93c689,2018-03-31 01:54:22.633975,XBTUSD,Buy,50000,7154.6,Limit,Liquidation,
aoa-execution-2018-03-01-2018-12-31.csv,5e06329d-e8cd-f7e9-3fca-fb3e3da6ee88,2018-04-01 09:07:47.752142,XBTM18,Sell,30000,6417.26,Limit,Liquidation,
aoa-execution-2018-03-01-2018-12-31.csv,cabc5bdf-8b56-44f0-4a41-e249e5ba3bf5,2018-04-04 15:55:52.682983,XBTUSD,Sell,50000,6805.51,Limit,Liquidation,
aoa-execution-2018-03-01-2018-12-31.csv,41f96927-0dc3-7db7-85c6-80a8229d0184,2018-04-16 02:12:26.807630,XBTUSD,Sell,400000,8183.32,Limit,Liquidation,
aoa-execution-2018-03-01-2018-12-31.csv,073c8963-8fbc-541c-2c17-9a168a7925f5,2018-05-22 22:50:57.695986,XBTUSD,Sell,400000,7934,Limit,Liquidation,
aoa-execution-2018-03-01-2018-12-31.csv,f4c1e071-d291-94d4-e532-f0b09dad5a0a,2018-05-26 22:41:53.924393,XBTUSD,Sell,1,7316.91,Limit,Liquidation,
aoa-execution-2018-03-01-2018-12-31.csv,f25f1e12-4737-8e7d-8aca-76694e1639e8,2018-06-10 17:35:15.961816,XBTUSD,Sell,1,6928.58,Limit,Liquidation,
aoa-execution-2018-03-01-2018-12-31.csv,ab2ac5c8-191e-e3af-8849-5c45c432f495,2018-06-24 16:43:49.921194,XBTUSD,Buy,226841,6185.81,Limit,Liquidation,
aoa-execution-2018-03-01-2018-12-31.csv,10f05bf9-f3a5-2f92-df8f-f0f1441de68d,2018-07-17 17:44:13.555348,XBTUSD,Buy,599999,7220.72,Limit,Liquidation,
aoa-execution-2018-03-01-2018-12-31.csv,1d7ee500-239b-b551-932f-be538c3a0567,2018-07-20 19:17:04.206809,XRPU18,Sell,310444,5.499e-05,Limit,Liquidation,
aoa-execution-2018-03-01-2018-12-31.csv,d0847e3b-3891-257b-fad5-bc730262937d,2018-09-09 09:32:01.238134,XBTUSD,Buy,1,6432.92,Limit,Liquidation,
aoa-execution-2018-03-01-2018-12-31.csv,07142c19-b747-4665-b078-e9f7b2eab1f7,2018-09-21 15:05:32.744461,XRPU18,Sell,10000,9.5e-05,Limit,Liquidation,
aoa-execution-2018-03-01-2018-12-31.csv,321f34fa-319f-8bdf-e12d-266d0908b0a2,2018-09-21 14:57:06.504871,XRPU18,Buy,330000,0.00012972,Limit,Liquidation,
aoa-execution-2018-03-01-2018-12-31.csv,a2982706-6c37-9ed8-ac03-46bcf93ce712,2018-09-21 16:14:54.590121,XRPU18,Sell,218,8.241e-05,Limit,Liquidation,
aoa-execution-2018-03-01-2018-12-31.csv,79aa5b23-ca5f-2b18-f259-952def61bf8f,2018-09-29 09:05:38.412854,ETHUSD,Buy,1,231.28,Limit,Liquidation,
aoa-execution-2018-03-01-2018-12-31.csv,618a6fe6-e5e3-b315-91fb-6818e781e68e,2018-11-09 21:15:34.311057,BCHZ18,Sell,501,0.07759,StopLimit,Liquidation,
aoa-execution-2018-03-01-2018-12-31.csv,70fdc2e9-fae1-8833-bb3f-a526814abfc6,2018-11-20 08:06:38.274440,ETHUSD,Sell,1,131.27,StopLimit,Liquidation,
aoa-execution-2019-01-01-2020-12-31.csv,ddbf3f21-c67a-aba1-92b6-e491581bb671,2019-09-24 19:45:00.887980,XBTUSD,Sell,576,8075.6,StopLimit,Liquidation,
aoa-execution-2019-01-01-2020-12-31.csv,b617a447-d54a-cff7-13a7-503c7d7c9a48,2020-03-12 10:48:12.744702,XBTUSD,Sell,126,5767.03,StopLimit,Liquidation,
