date,Deposit,RealisedPNL,Withdrawal,ledger_balance_sat,reported_last_balance_sat,daily_snapshot_residual_sat,cumulative_realised_sat
2018-03-05,17244633,-1910004,0,15334629,15334629,0,-1910004
2018-03-06,0,-6358364,0,8976265,8976265,0,-8268368
2018-03-07,0,-1547227,0,7429038,7429038,0,-9815595
2018-03-08,0,4735248,0,12164286,12164286,0,-5080347
2018-03-09,0,3630907,0,15795193,15795193,0,-1449440
2018-03-10,0,-6403106,0,9392087,9392087,0,-7852546
2018-03-11,0,-3507086,0,5885001,5885001,0,-11359632
2018-03-12,4950000,4152832,0,14987833,14987833,0,-7206800
2018-03-13,41000000,-21090265,0,34897568,34897568,0,-28297065
2018-03-14,41817608,-31394156,0,45321020,45321020,0,-59691221
2018-03-15,0,32075933,0,77396953,77396953,0,-27615288
2018-03-16,0,49775425,0,127172378,127172378,0,22160137
2018-03-17,0,22969383,0,150141761,150141761,0,45129520
2018-03-18,0,0,0,150141761,,,45129520
2018-03-19,0,8837371,0,158979132,158979132,0,53966891
2018-03-20,116503238,116909836,0,392392206,392392206,0,170876727
2018-03-21,0,-244125250,0,148266956,148266956,0,-73248523
2018-03-22,0,48534757,-196801713,0,0,0,-24713766
2018-03-23,0,0,0,0,,,-24713766
2018-03-24,0,0,0,0,,,-24713766
2018-03-25,0,0,0,0,,,-24713766
2018-03-26,0,0,0,0,,,-24713766
2018-03-27,0,0,0,0,,,-24713766
2018-03-28,0,0,0,0,,,-24713766
2018-03-29,100000000,-4377354,0,95622646,95622646,0,-29091120
2018-03-30,76368181,69164967,-20120000,221035794,221035794,0,40073847
2018-03-31,0,35301483,-20120000,236217277,236217277,0,75375330
2018-04-01,0,-63704170,0,172513107,172513107,0,11671160
2018-04-02,0,-51328951,0,121184156,121184156,0,-39657791
2018-04-03,29950000,-66220734,0,84913422,84913422,0,-105878525
2018-04-04,0,3698744,0,88612166,88612166,0,-102179781
2018-04-05,0,12407124,0,101019290,101019290,0,-89772657
2018-04-06,0,28374013,0,129393303,129393303,0,-61398644
2018-04-07,0,-3974904,0,125418399,125418399,0,-65373548
2018-04-08,0,54105,0,125472504,125472504,0,-65319443
2018-04-09,0,27955181,0,153427685,153427685,0,-37364262
2018-04-10,0,14896990,0,168324675,168324675,0,-22467272
2018-04-11,0,0,0,168324675,,,-22467272
2018-04-12,0,632753,0,168957428,168957428,0,-21834519
2018-04-13,0,4830097,0,173787525,173787525,0,-17004422
2018-04-14,0,56330627,0,230118152,230118152,0,39326205
2018-04-15,0,-74601730,0,155516422,155516422,0,-35275525
2018-04-16,43400664,45716144,0,244633230,244633230,0,10440619
2018-04-17,0,102594189,0,347227419,347227419,0,113034808
2018-04-18,0,86710942,-100120000,333818361,333818361,0,199745750
2018-04-19,0,-120570108,0,213248253,213248253,0,79175642
2018-04-20,0,37481502,0,250729755,250729755,0,116657144
2018-04-21,0,37951682,0,288681437,288681437,0,154608826
2018-04-22,0,7038462,0,295719899,295719899,0,161647288
2018-04-23,0,16402756,0,312122655,312122655,0,178050044
2018-04-24,0,90605724,-100120000,302608379,302608379,0,268655768
2018-04-25,0,2089855,-50160000,254538234,254538234,0,270745623
2018-04-26,0,170204947,0,424743181,424743181,0,440950570
2018-04-27,0,1718121,-100120000,326341302,380937178,54595876,442668691
2018-04-28,0,54595876,0,380937178,481057178,100120000,497264567
2018-04-29,0,32282445,0,413219623,413219623,0,529547012
2018-04-30,0,496625,0,413716248,413716248,0,530043637
2018-05-01,0,0,0,413716248,,,530043637
2018-05-02,0,3889155,0,417605403,417605403,0,533932792
2018-05-03,0,0,0,417605403,,,533932792
2018-05-04,0,-5442717,0,412162686,412162686,0,528490075
2018-05-05,0,0,0,412162686,,,528490075
2018-05-06,0,2585069,0,414747755,414747755,0,531075144
2018-05-07,0,48768999,0,463516754,463516754,0,579844143
2018-05-08,0,0,0,463516754,,,579844143
2018-05-09,0,43508290,0,507025044,507025044,0,623352433
2018-05-10,0,0,0,507025044,,,623352433
2018-05-11,0,44995330,0,552020374,552020374,0,668347763
2018-05-12,0,214067210,-200120000,565967584,565967584,0,882414973
2018-05-13,0,9434026,0,575401610,575401610,0,891848999
2018-05-14,0,9101193,0,584502803,584502803,0,900950192
2018-05-15,0,4451860,0,588954663,588954663,0,905402052
2018-05-16,0,87982015,0,676936678,676936678,0,993384067
2018-05-17,0,13314440,0,690251118,690251118,0,1006698507
2018-05-18,0,0,0,690251118,,,1006698507
2018-05-19,0,7105035,0,697356153,697356153,0,1013803542
2018-05-20,0,10117951,0,707474104,707474104,0,1023921493
2018-05-21,0,-1761548,0,705712556,705712556,0,1022159945
2018-05-22,0,8576357,0,714288913,714288913,0,1030736302
2018-05-23,0,-67982827,0,646306086,646306086,0,962753475
2018-05-24,345955101,-477220696,0,515040491,515040491,0,485532779
2018-05-25,0,45044602,0,560085093,560085093,0,530577381
2018-05-26,0,139148098,0,699233191,699233191,0,669725479
2018-05-27,0,-18900711,0,680332480,680332480,0,650824768
2018-05-28,0,-11788962,0,668543518,668543518,0,639035806
2018-05-29,0,6082273,0,674625791,674625791,0,645118079
2018-05-30,0,51943196,0,726568987,726568987,0,697061275
2018-05-31,0,42819050,0,769388037,769388037,0,739880325
2018-06-01,0,46473340,0,815861377,815861377,0,786353665
2018-06-02,0,3,0,815861380,815861380,0,786353668
2018-06-03,0,-576007,0,815285373,815285373,0,785777661
2018-06-04,0,35496090,0,850781463,850781463,0,821273751
2018-06-05,0,47414512,0,898195975,898195975,0,868688263
2018-06-06,0,7865738,0,906061713,906061713,0,876554001
2018-06-07,0,20136839,0,926198552,926198552,0,896690840
2018-06-08,0,7,0,926198559,926198559,0,896690847
2018-06-09,0,7,0,926198566,926198566,0,896690854
2018-06-10,0,24721342,0,950919908,950919908,0,921412196
2018-06-11,0,49844140,0,1000764048,1000764048,0,971256336
2018-06-12,0,-2267319,0,998496729,998496729,0,968989017
2018-06-13,0,26878917,0,1025375646,1025375646,0,995867934
2018-06-14,0,31233244,0,1056608890,1056608890,0,1027101178
2018-06-15,0,63469436,0,1120078326,1120078326,0,1090570614
2018-06-16,0,85348917,0,1205427243,1205427243,0,1175919531
2018-06-17,0,52639970,0,1258067213,1258067213,0,1228559501
2018-06-18,0,7339679,0,1265406892,1265406892,0,1235899180
2018-06-19,0,22027903,0,1287434795,1287434795,0,1257927083
2018-06-20,0,28249089,0,1315683884,1315683884,0,1286176172
2018-06-21,0,40081915,0,1355765799,1355765799,0,1326258087
2018-06-22,0,29964149,0,1385729948,1385729948,0,1356222236
2018-06-23,0,115825039,0,1501554987,1501554987,0,1472047275
2018-06-24,0,-213880254,0,1287674733,1287674733,0,1258167021
2018-06-25,0,90406762,0,1378081495,1378081495,0,1348573783
2018-06-26,0,67715760,0,1445797255,1445797255,0,1416289543
2018-06-27,0,12287194,0,1458084449,1458084449,0,1428576737
2018-06-28,0,128884415,0,1586968864,1586968864,0,1557461152
2018-06-29,0,-378853013,0,1208115851,1208115851,0,1178608139
2018-06-30,0,137006532,0,1345122383,1345122383,0,1315614671
2018-07-01,0,18494111,0,1363616494,1363616494,0,1334108782
2018-07-02,0,17005042,0,1380621536,1380621536,0,1351113824
2018-07-03,0,193461853,0,1574083389,1574083389,0,1544575677
2018-07-04,0,111810444,0,1685893833,1685893833,0,1656386121
2018-07-05,0,10110916,0,1696004749,1696004749,0,1666497037
2018-07-06,0,599025,0,1696603774,1696603774,0,1667096062
2018-07-07,0,294988,0,1696898762,1696898762,0,1667391050
2018-07-08,0,48093208,0,1744991970,1744991970,0,1715484258
2018-07-09,0,3814925,0,1748806895,1748806895,0,1719299183
2018-07-10,0,-77710455,0,1671096440,1671096440,0,1641588728
2018-07-11,0,-18626149,0,1652470291,1652470291,0,1622962579
2018-07-12,0,-13600159,0,1638870132,1638870132,0,1609362420
2018-07-13,0,73325320,0,1712195452,1712195452,0,1682687740
2018-07-14,0,92494847,0,1804690299,1804690299,0,1775182587
2018-07-15,0,2934778,0,1807625077,1807625077,0,1778117365
2018-07-16,0,8860860,0,1816485937,1816485937,0,1786978225
2018-07-17,0,85131297,0,1901617234,1901617234,0,1872109522
2018-07-18,0,-478460196,0,1423157038,1423157038,0,1393649326
2018-07-19,0,412651060,0,1835808098,1835808098,0,1806300386
2018-07-20,0,177399674,0,2013207772,2013207772,0,1983700060
2018-07-21,0,-246103513,0,1767104259,1767104259,0,1737596547
2018-07-22,0,27340749,0,1794445008,1794445008,0,1764937296
2018-07-23,0,65973027,0,1860418035,1860418035,0,1830910323
2018-07-24,0,275459545,0,2135877580,2135877580,0,2106369868
2018-07-25,0,224464377,0,2360341957,2360341957,0,2330834245
2018-07-26,0,81439139,0,2441781096,2441781096,0,2412273384
2018-07-27,0,229222686,0,2671003782,2671003782,0,2641496070
2018-07-28,0,17424890,-400120000,2288308672,2288308672,0,2658920960
2018-07-29,0,45823124,0,2334131796,2334131796,0,2704744084
2018-07-30,0,55686038,0,2389817834,2389817834,0,2760430122
2018-07-31,0,87992395,0,2477810229,2477810229,0,2848422517
2018-08-01,0,-669560552,0,1808249677,1808249677,0,2178861965
2018-08-02,0,221830313,0,2030079990,2030079990,0,2400692278
2018-08-03,0,-60767600,0,1969312390,1969312390,0,2339924678
2018-08-04,0,19698841,0,1989011231,1989011231,0,2359623519
2018-08-05,0,-342807889,0,1646203342,1646203342,0,2016815630
2018-08-06,0,48893910,0,1695097252,1695097252,0,2065709540
2018-08-07,0,265536045,0,1960633297,1960633297,0,2331245585
2018-08-08,0,-22606319,0,1938026978,1938026978,0,2308639266
2018-08-09,0,193632820,0,2131659798,2131659798,0,2502272086
2018-08-10,0,617946861,-250120000,2499486659,2499486659,0,3120218947
2018-08-11,0,22213193,0,2521699852,2521699852,0,3142432140
2018-08-12,0,259497436,0,2781197288,2781197288,0,3401929576
2018-08-13,0,-58324450,-50040000,2672832838,2672832838,0,3343605126
2018-08-14,0,-184925955,0,2487906883,2487906883,0,3158679171
2018-08-15,0,278784106,0,2766690989,2766690989,0,3437463277
2018-08-16,0,-7163975,0,2759527014,2759527014,0,3430299302
2018-08-17,0,194483409,0,2954010423,2954010423,0,3624782711
2018-08-18,0,-14448697,0,2939561726,2939561726,0,3610334014
2018-08-19,0,93143313,0,3032705039,3032705039,0,3703477327
2018-08-20,0,-15679569,0,3017025470,3017025470,0,3687797758
2018-08-21,0,10983213,0,3028008683,3028008683,0,3698780971
2018-08-22,0,13078942,0,3041087625,3041087625,0,3711859913
2018-08-23,0,83769947,0,3124857572,3124857572,0,3795629860
2018-08-24,0,34947615,0,3159805187,3159805187,0,3830577475
2018-08-25,0,-168554728,0,2991250459,2991250459,0,3662022747
2018-08-26,0,68477557,0,3059728016,3059728016,0,3730500304
2018-08-27,0,-32545738,0,3027182278,3027182278,0,3697954566
2018-08-28,0,-248604448,0,2778577830,2778577830,0,3449350118
2018-08-29,0,112470754,0,2891048584,2891048584,0,3561820872
2018-08-30,0,-80589940,0,2810458644,2810458644,0,3481230932
2018-08-31,0,159776184,0,2970234828,2970234828,0,3641007116
2018-09-01,0,-3748490,0,2966486338,2966486338,0,3637258626
2018-09-02,0,50478088,0,3016964426,3016964426,0,3687736714
2018-09-03,0,115584915,0,3132549341,3132549341,0,3803321629
2018-09-04,0,249434,0,3132798775,3132798775,0,3803571063
2018-09-05,0,589982143,-701200000,3021580918,3021580918,0,4393553206
2018-09-06,0,-1193728792,0,1827852126,1827852126,0,3199824414
2018-09-07,0,67712863,0,1895564989,1895564989,0,3267537277
2018-09-08,0,-18,0,1895564971,1895564971,0,3267537259
2018-09-09,0,112002682,0,2007567653,2007567653,0,3379539941
2018-09-10,0,296431088,0,2303998741,2303998741,0,3675971029
2018-09-11,0,60562279,0,2364561020,2364561020,0,3736533308
2018-09-12,0,61728524,0,2426289544,2426289544,0,3798261832
2018-09-13,0,-27175699,0,2399113845,2399113845,0,3771086133
2018-09-14,0,-536093719,0,1863020126,1863020126,0,3234992414
2018-09-15,0,172768611,0,2035788737,2035788737,0,3407761025
2018-09-16,0,-145429545,0,1890359192,1890359192,0,3262331480
2018-09-17,0,66351438,0,1956710630,1956710630,0,3328682918
2018-09-18,0,-347211803,0,1609498827,1609498827,0,2981471115
2018-09-19,0,-309070407,0,1300428420,1300428420,0,2672400708
2018-09-20,0,354771170,0,1655199590,1655199590,0,3027171878
2018-09-21,99950000,111990910,0,1867140500,1867140500,0,3139162788
2018-09-22,0,-1574562129,0,292578371,292578371,0,1564600659
2018-09-23,64362202,0,0,356940573,356940573,0,1564600659
2018-09-24,0,3452855,0,360393428,360393428,0,1568053514
2018-09-25,0,151164271,0,511557699,511557699,0,1719217785
2018-09-26,0,-428100,0,511129599,511129599,0,1718789685
2018-09-27,0,129196218,0,640325817,640325817,0,1847985903
2018-09-28,0,65330967,0,705656784,705656784,0,1913316870
2018-09-29,0,-156031075,0,549625709,549625709,0,1757285795
2018-09-30,0,-6,0,549625703,549625703,0,1757285789
2018-10-01,0,-9,0,549625694,549625694,0,1757285780
2018-10-02,0,888665,0,550514359,550514359,0,1758174445
2018-10-03,399950000,-56745682,0,893718677,893718677,0,1701428763
2018-10-04,0,37,0,893718714,893718714,0,1701428800
2018-10-05,0,13,0,893718727,893718727,0,1701428813
2018-10-06,0,26641656,0,920360383,920360383,0,1728070469
2018-10-07,0,54989992,0,975350375,975350375,0,1783060461
2018-10-08,26922385,35138041,0,1037410801,1037410801,0,1818198502
2018-10-09,0,-13458726,0,1023952075,1023952075,0,1804739776
2018-10-10,0,40248624,0,1064200699,1064200699,0,1844988400
2018-10-11,6879957,79215753,0,1150296409,1150296409,0,1924204153
2018-10-12,0,116350405,0,1266646814,1266646814,0,2040554558
2018-10-13,0,21205608,0,1287852422,1287852422,0,2061760166
2018-10-14,0,-22,0,1287852400,1287852400,0,2061760144
2018-10-15,19333507,486510294,0,1793696201,1793696201,0,2548270438
2018-10-16,0,-28732692,0,1764963509,1764963509,0,2519537746
2018-10-17,0,18178673,0,1783142182,1783142182,0,2537716419
2018-10-18,0,36,0,1783142218,1783142218,0,2537716455
2018-10-19,0,24937584,0,1808079802,1808079802,0,2562654039
2018-10-20,0,12,0,1808079814,1808079814,0,2562654051
2018-10-21,0,29,0,1808079843,1808079843,0,2562654080
2018-10-22,0,6,0,1808079849,1808079849,0,2562654086
2018-10-23,0,30,0,1808079879,1808079879,0,2562654116
2018-10-24,0,13,0,1808079892,1808079892,0,2562654129
2018-10-25,0,12,0,1808079904,1808079904,0,2562654141
2018-10-26,0,33,0,1808079937,1808079937,0,2562654174
2018-10-27,0,23,0,1808079960,1808079960,0,2562654197
2018-10-28,0,11,0,1808079971,1808079971,0,2562654208
2018-10-29,0,22,0,1808079993,1808079993,0,2562654230
2018-10-30,0,14250245,0,1822330238,1822330238,0,2576904475
2018-10-31,0,38,0,1822330276,1822330276,0,2576904513
2018-11-01,0,19,0,1822330295,1822330295,0,2576904532
2018-11-02,0,14,0,1822330309,1822330309,0,2576904546
2018-11-03,0,11,0,1822330320,1822330320,0,2576904557
2018-11-04,0,61943875,0,1884274195,1884274195,0,2638848432
2018-11-05,14338238,185107554,0,2083719987,2083719987,0,2823955986
2018-11-06,0,-111247838,0,1972472149,1972472149,0,2712708148
2018-11-07,0,165861829,0,2138333978,2138333978,0,2878569977
2018-11-08,0,-16261489,0,2122072489,2122072489,0,2862308488
2018-11-09,0,237066142,0,2359138631,2359138631,0,3099374630
2018-11-10,0,-506056764,0,1853081867,1853081867,0,2593317866
2018-11-11,0,53553656,0,1906635523,1906635523,0,2646871522
2018-11-12,0,-170404592,0,1736230931,1736230931,0,2476466930
2018-11-13,0,-61590952,0,1674639979,1674639979,0,2414875978
2018-11-14,0,116131573,0,1790771552,1790771552,0,2531007551
2018-11-15,0,954448164,0,2745219716,2745219716,0,3485455715
2018-11-16,0,372114573,0,3117334289,3117334289,0,3857570288
2018-11-17,0,3443161,0,3120777450,3120777450,0,3861013449
2018-11-18,0,-45340705,0,3075436745,3075436745,0,3815672744
2018-11-19,0,-140153521,0,2935283224,2935283224,0,3675519223
2018-11-20,0,75612240,0,3010895464,3010895464,0,3751131463
2018-11-21,0,809933071,0,3820828535,3820828535,0,4561064534
2018-11-22,0,160533310,0,3981361845,3981361845,0,4721597844
2018-11-23,0,1084161959,0,5065523804,5065523804,0,5805759803
2018-11-24,0,68517356,0,5134041160,5134041160,0,5874277159
2018-11-25,0,1942484591,-100120000,6976405751,6976405751,0,7816761750
2018-11-26,0,4323752,0,6980729503,6980729503,0,7821085502
