symbol,postings,pnl_sat,positive_postings,negative_postings,pnl_btc
XBTUSD,1377,200708464645,867,510,2007.084646
ETHUSD,312,83036450739,210,102,830.3645074
XBTU21,11,24633373320,8,3,246.3337332
XRPUSD,109,17386144941,98,11,173.8614494
ETHUSDM21,5,14093425904,4,1,140.934259
XBTH20,14,11920156973,11,3,119.2015697
DOGEUSDT,19,5260704663,17,2,52.60704663
BNBUSDT,9,1915294910,9,0,19.1529491
LTCUSD,35,1686532127,33,2,16.86532127
DOTUSDT,23,1640923646,19,4,16.40923646
XBTZ18,4,1232313507,3,1,12.32313507
XBTH19,4,816725209,1,3,8.16725209
EOSH21,3,685887397,2,1,6.85887397
TRXU18,18,388446898,17,1,3.88446898
XBTU18,3,383204412,2,1,3.83204412
XRPH21,2,373931041,1,1,3.73931041
BCHZ18,15,236883793,11,4,2.36883793
EOSU18,38,192900434,26,12,1.92900434
EOSM18,7,119280411,5,2,1.19280411
EOSZ18,4,103451314,3,1,1.03451314
TRXZ18,3,59061670,3,0,0.5906167
XRPM19,1,42158077,1,0,0.42158077
XRPZ18,12,42041107,8,4,0.42041107
XRPM18,3,31911239,3,0,0.31911239
BCHM18,3,17498197,3,0,0.17498197
BCHU18,2,16194102,2,0,0.16194102
XRPH19,2,15636573,2,0,0.15636573
LTCU18,1,12403579,1,0,0.12403579
YFIUSDTZ20,1,10688095,1,0,0.10688095
ADAUSDT,2,2209134,1,1,0.02209134
ETHM18,1,-285972,0,1,-0.00285972
XBT7D_U110,1,-909000,0,1,-0.00909
ADAM19,1,-6469965,0,1,-0.06469965
LTCH19,2,-7577663,1,1,-0.07577663
ADAZ18,2,-9745548,1,1,-0.09745548
ADAM18,15,-19235291,13,2,-0.19235291
XBTM18,11,-41674848,7,4,-0.41674848
TRXH19,1,-55500093,0,1,-0.55500093
BCHM19,1,-128767500,0,1,-1.287675
ADAU18,27,-148627071,18,9,-1.48627071
ETHU18,11,-259147451,4,7,-2.59147451
TRXU19,2,-625958560,1,1,-6.2595856
XBTM19,3,-1475753344,2,1,-14.75753344
XRPU18,14,-1774146044,10,4,-17.74146044
LINKUSDT,18,-1784627291,14,4,-17.84627291
BCHUSD,20,-6993503012,12,8,-69.93503012
