day,fills,orders,contracts,maker_contracts,fee_sat,end_position_contracts,last_execution_price
2018-03-05,37,14,297000,64000,1235355,9000,11592.5
2018-03-06,51,19,269000,40000,1299692,0,10586.5
2018-03-08,85,46,480000,5000,3289340,0,9856.5
2018-03-09,174,106,624000,15000,4601862,0,9286.5
2018-03-10,134,62,455000,0,3307832,15000,8801.5
2018-03-11,90,47,283200,19000,1911031,0,9473.5
2018-03-12,126,54,410000,45000,2480386,0,9016.33
2018-03-13,569,173,3210000,180000,21954113,100000,9160.0
2018-03-14,76,33,960000,479249,2525167,0,8164.0
2018-03-15,99,32,980000,388757,3885997,0,8274.0
2018-03-16,455,100,4101522,1556814,16096119,0,8349.0
2018-03-17,116,20,1294262,420000,6066083,0,8313.5
2018-03-19,302,63,3933000,2335759,5888988,0,8436.5
2018-03-20,411,62,5599262,2261277,18325509,-500000,8956.0
2018-03-21,460,101,5685830,2824398,12890051,-500000,8903.5
2018-03-22,595,66,7287678,3195150,18761420,0,8723.5
2018-03-29,416,107,4790000,1068083,29806022,0,7262.71
2018-03-30,883,175,7743406,1488649,56962925,-50000,6678.0
2018-03-31,865,117,7145296,910049,56324063,0,6913.0
2018-04-01,2268,231,21078468,4281352,150722305,0,6886.5
2018-04-02,1133,98,10486870,1933159,73972929,-100000,6976.5
2018-04-03,662,110,6269910,1829221,35331800,-50000,7438.5
2018-04-04,299,63,3115984,842032,19283660,0,6756.0
2018-04-05,285,59,2791524,468456,20947511,-30000,6819.5
2018-04-06,74,16,485260,94299,3685845,0,6557.5
2018-04-07,51,15,680000,130000,5011618,20000,6982.5
2018-04-08,40,11,240000,0,2317119,0,7008.0
2018-04-09,80,24,628200,218210,3314545,-8200,6765.0
2018-04-10,29,5,208200,58200,1326786,0,6664.0
2018-04-11,8,2,60000,30000,194443,0,6927.5
2018-04-12,219,55,2116132,976265,7108149,-50000,7903.0
2018-04-13,772,150,8266324,2951539,34556042,210000,7881.5
2018-04-14,890,75,7781658,3337238,30064138,-351000,8001.5
2018-04-15,749,59,8377266,3165653,32066152,-400000,8353.5
2018-04-16,1272,108,15941278,9082070,29674182,0,8012.5
2018-04-17,68,5,1000000,800000,-593905,600000,7871.5
2018-04-18,419,30,4921588,3878785,-2168234,0,8135.0
2018-04-19,1074,51,11416624,5099183,37738569,-5000,8225.5
2018-04-20,398,54,7475470,5437952,1549917,-400000,8859.5
2018-04-21,274,38,5400000,3760481,2885270,0,8771.0
2018-04-22,189,15,2400000,1671885,1285325,0,8811.0
2018-04-24,384,47,7525126,5287797,3446123,-200000,9678.5
2018-04-25,570,76,12752000,9648275,-524075,0,8830.5
2018-04-26,163,23,3073824,2135757,1609512,0,9262.0
2018-04-27,59,13,2029788,1790317,-2656448,0,8973.5
2018-04-28,289,17,2799454,952253,9122755,0,9328.0
2018-04-29,134,83,400640,43615,2476056,0,9314.0
2018-05-01,92,6,1200000,682088,2145440,0,9083.0
2018-05-02,4,4,800000,800000,-1967670,0,9159.5
2018-05-03,254,37,7226000,5424197,61135,0,9665.0
2018-05-04,57,4,800000,402750,1855420,0,9577.5
2018-05-05,7,7,8,6,1,0,9863.0
2018-05-06,33,8,1293738,980676,-92174,0,9438.5
2018-05-07,176,17,2420000,1577460,2204755,0,9302.5
2018-05-11,335,38,6734256,6033493,-10475344,0,8391.5
2018-05-12,338,54,10261626,8667036,-10394629,0,8517.5
2018-05-13,103,7,1061696,861696,-683069,0,8656.0
2018-05-14,46,6,800332,800166,-2091543,0,8852.5
2018-05-15,24,4,561952,400326,227400,0,8437.5
2018-05-16,219,31,6000000,5609201,-12164980,0,8350.0
2018-05-17,17,2,359010,359010,-966411,0,8364.0
2018-05-19,42,4,585404,400426,447625,0,8350.0
2018-05-20,100,9,1476884,1476884,-3946981,0,8495.5
2018-05-21,99,7,1200000,1164990,-2808416,0,8487.5
2018-05-22,214,21,4187434,3787434,-7038212,300000,7991.0
